Âíóòðåííèé êîä (àðòèêóë);Íàèìåíîâàíèå;Îïèñàíèå;Êðàòêîå îïèñàíèå;Öåíà;Ñòàðàÿ öåíà;Íà ñêëàäå;Ôîòîãðàôèÿ;Ìàëåíüêàÿ ôîòîãðàôèÿ;Áîëüøàÿ ôîòîãðàôèÿ
;Àâòîìîáèëè;;;;;;;;
;!Lotus;;;;;;;;
444-11A;Lotus Esprit;n/a;1 øò.;72000;80000;3;;;picture.jpg
;!Lamborghini;;;;;;;;
SS 2.0;Lamborghini Diablo;;;190000;230000;1;photo.gif;;
;Êîìïüþòåðû - æåëåçî;;;;;;;;
;!Ìîíèòîðû;;;;;;;;
;!!TFT;;;;;;;;
;!!!Samsung;;;;;;;;
BB3;SyncMaster 15;;"15""";200;210;56;;thumb.gif;
13C87;SyncMaster 17;;"17""";300;;31;;;
LJKDH88;SyncMaster 19;;"19""";400;;9;;;
;!!!GoldStar;;;;;;;;
;!!Á/Ó;;;;;;;;
;!HDD;;;;;;;;
